5;20-Nov-22;Catar;1;Equador;A;19:00;Al Bayt Stadium
5;21-Nov-22;Senegal;2;Holanda;A;19:00;Al Thumama Stadium
5;21-Nov-22;Inglaterra;3;Irã;B;16:00;Khalifa International Stadium
5;21-Nov-22;Estados Unidos;4;País de Gales;B;22:00;Ahmad Bin Ali Stadium
5;22-Nov-22;França;5;Austrália;D;22:00;Al Janoub Stadium
5;22-Nov-22;Dinamarca;6;Tunísia;D;16:00;Education City Stadium
5;22-Nov-22;México;7;Polônia;C;19:00;Stadium 974
5;22-Nov-22;Argentina;8;Arábia Saudita;C;13:00;Lusail Stadium
5;23-Nov-22;Bélgica;9;Canadá;F;22:00;Ahmad Bin Ali Stadium
5;23-Nov-22;Espanha;10;Costa Rica;E;19:00;Al Thumama Stadium
5;23-Nov-22;Alemanha;11;Japão;E;16:00;Khalifa International Stadium
5;23-Nov-22;Marrocos;12;Croácia;F;13:00;Al Bayt Stadium
5;24-Nov-22;Suíça;13;Camarões;G;13:00;Al Janoub Stadium
5;24-Nov-22;Uruguai;14;Coréia do Sul;H;16:00;Education City Stadium
5;24-Nov-22;Portugal;15;Gana;H;19:00;Stadium 974
5;24-Nov-22;Brasil;16;Sérvia;G;22:00;Lusail Stadium
5;25-Nov-22;Irã;17;País de Gales;B;13:00;Ahmad Bin Ali Stadium
5;25-Nov-22;Catar;18;Senegal;A;16:00;Al Thumama Stadium
5;25-Nov-22;Holanda;19;Equador;A;19:00;Khalifa International Stadium
5;25-Nov-22;Inglaterra;20;Estados Unidos;B;22:00;Al Bayt Stadium
5;26-Nov-22;Tunísia;21;Austrália;D;13:00;Al Janoub Stadium
5;26-Nov-22;Polônia;22;Arábia Saudita;C;16:00;Education City Stadium
5;26-Nov-22;França;23;Dinamarca;D;19:00;Stadium 974
5;26-Nov-22;Argentina;24;México;C;22:00;Lusail Stadium
5;27-Nov-22;Japão;25;Costa Rica;E;13:00;Ahmad Bin Ali Stadium
5;27-Nov-22;Bélgica;26;Marrocos;F;16:00;Al Thumama Stadium
5;27-Nov-22;Croácia;27;Canadá;F;19:00;Khalifa International Stadium
5;27-Nov-22;Espanha;28;Alemanha;E;22:00;Al Bayt Stadium
5;28-Nov-22;Sérvia;29;Camarões;G;13:00;Al Janoub Stadium
5;28-Nov-22;Coréia do Sul;30;Gana;H;16:00;Education City Stadium
5;28-Nov-22;Brasil;31;Suíça;G;19:00;Stadium 974
5;28-Nov-22;Portugal;32;Uruguai;H;22:00;Lusail Stadium
5;29-Nov-22;Inglaterra;33;País de Gales;B;22:00;Ahmad Bin Ali Stadium
5;29-Nov-22;Irã;34;Estados Unidos;B;22:00;Al Thumama Stadium
5;29-Nov-22;Equador;35;Senegal;A;18:00;Khalifa International Stadium
5;29-Nov-22;Holanda;36;Catar;A;18:00;Al Bayt Stadium
5;30-Nov-22;Dinamarca;37;Austrália;D;18:00;Al Janoub Stadium
5;30-Nov-22;Tunísia;38;França;D;18:00;Education City Stadium
5;30-Nov-22;Polônia;39;Argentina;C;22:00;Stadium 974
5;30-Nov-22;Arábia Saudita;40;México;C;22:00;Lusail Stadium
5;01-Dez-22;Croácia;41;Bélgica;F;18:00;Ahmad Bin Ali Stadium
5;01-Dez-22;Canadá;42;Marrocos;F;18:00;Al Thumama Stadium
5;01-Dez-22;Japão;43;Espanha;E;22:00;Khalifa International Stadium
5;01-Dez-22;Costa Rica;44;Alemanha;E;22:00;Al Bayt Stadium
5;02-Dez-22;Gana;45;Uruguai;H;18:00;Al Janoub Stadium
5;02-Dez-22;Coréia do Sul;46;Portugal;H;18:00;Education City Stadium
5;02-Dez-22;Sérvia;47;Suíça;G;22:00;Stadium 974
5;02-Dez-22;Brasil;48;Camarões;G;22:00;Lusail Stadium
4;03-Dez-22;Equador;49;Estados Unidos;G;18:00;Khalifa International Stadium
4;03-Dez-22;México;50;Tunísia;G;22:00;Ahmad Bin Ali Stadium
4;04-Dez-22;Inglaterra;51;Holanda;G;22:00;Al Bayt Stadium
4;04-Dez-22;Dinamarca;52;Polônia;G;18:00;Al Thumama StadiumB
4;05-Dez-22;Costa Rica;53;Canadá;G;18:00;Al Janoub Stadium
4;05-Dez-22;Sérvia;54;Portugal;G;22:00;Stadium 974
4;06-Dez-22;Croácia;55;Japão;G;18:00;Education City Stadium
4;06-Dez-22;Uruguai;56;Camarões;G;22:00;Lusail Stadium
